GENUS	SPECIES
Agarivorans	gilvus
Agarivorans	litoreus
Agarivorans	
Agathobacter	rectalis
Agathobacter	ruminis
Agathobacter	
Agathobaculum	butyriciproducens
Agathobaculum	desmolans
Agathobaculum	
Aggregatibacter	actinomycetemcomitans
Aggregatibacter	aphrophilus
Aggregatibacter	kilianii
Aggregatibacter	segnis
Aggregatibacter	
Aggregatilinea	lenta
Aggregatilinea	
Aggregicoccus	edonensis
Aggregicoccus	
Agitococcus	lubricus
Agitococcus	
Agreia	bicolorata
Agreia	pratensis
Agreia	
Agrobacterium	arsenijevicii
Agrobacterium	atlanticum
Agrobacterium	ferrugineum
Agrobacterium	gelatinovorum
Agrobacterium	larrymoorei
Agrobacterium	meteori
Agrobacterium	nepotum
Agrobacterium	pusense
Agrobacterium	radiobacter
Agrobacterium	rhizogenes
Agrobacterium	rosae
Agrobacterium	rubi
Agrobacterium	salinitolerans
Agrobacterium	skierniewicense
Agrobacterium	stellulatum
Agrobacterium	tumefaciens
Agrobacterium	vitis
Agrobacterium	
Agrococcus	baldri
Agrococcus	carbonis
Agrococcus	casei
Agrococcus	citreus
Agrococcus	jejuensis
Agrococcus	jenensis
Agrococcus	lahaulensis
Agrococcus	terreus
Agrococcus	versicolor
Agrococcus	
Agromonas	oligotrophica
Agromonas	
Agromyces	albus
Agromyces	allii
Agromyces	atrinae
Agromyces	aurantiacus
Agromyces	aureus
Agromyces	bauzanensis
Agromyces	binzhouensis
Agromyces	bracchium
Agromyces	cerinus
Agromyces	cerinus
Agromyces	cerinus
Agromyces	flavus
Agromyces	fucosus
Agromyces	fucosus
Agromyces	fucosus
Agromyces	hippuratus
Agromyces	humatus
Agromyces	indicus
Agromyces	insulae
Agromyces	iriomotensis
Agromyces	italicus
Agromyces	lapidis
Agromyces	luteolus
Agromyces	mangrovi
Agromyces	marinus
Agromyces	mediolanus
Agromyces	neolithicus
Agromyces	ramosus
Agromyces	rhizospherae
Agromyces	salentinus
Agromyces	soli
Agromyces	subbeticus
Agromyces	subtropicus
Agromyces	terreus
Agromyces	tropicus
Agromyces	ulmi
Agromyces	
Ahniella	affigens
Ahniella	
Ahrensia	kielensis
Ahrensia	kieliense
Ahrensia	marina
Ahrensia	
Aidingimonas	halophila
Aidingimonas	
Akkermansia	glycaniphila
Akkermansia	muciniphila
Akkermansia	
Albibacter	helveticus
Albibacter	methylovorans
Albibacter	
Albidiferax	ferrireducens
Albidiferax	
Albidoferax	ferrireducens
Albidoferax	
Albidovulum	inexpectatum
Albidovulum	xiamenense
Albidovulum	
Albimonas	donghaensis
Albimonas	pacifica
Albimonas	
Albirhodobacter	confluentis
Albirhodobacter	marinus
Albirhodobacter	
Alcaligenes	aestus
Alcaligenes	aquamarinus
Alcaligenes	aquatilis
Alcaligenes	cupidus
Alcaligenes	defragrans
Alcaligenes	denitrificans
Alcaligenes	denitrificans
Alcaligenes	denitrificans
Alcaligenes	endophyticus
Alcaligenes	eutrophus
Alcaligenes	faecalis
Alcaligenes	faecalis
Alcaligenes	faecalis
Alcaligenes	faecalis
Alcaligenes	faecalis
Alcaligenes	latus
Alcaligenes	pacificus
Alcaligenes	pacifus
Alcaligenes	pakistanensis
Alcaligenes	paradoxus
Alcaligenes	piechaudii
Alcaligenes	ruhlandii
Alcaligenes	venustus
Alcaligenes	xylosoxidans
Alcaligenes	xylosoxidans
Alcaligenes	xylosoxidans
Alcaligenes	
Alcalilimnicola	
Alcanivorax	balearicus
Alcanivorax	borkumensis
Alcanivorax	dieselolei
Alcanivorax	gelatiniphagus
Alcanivorax	hongdengensis
Alcanivorax	indicus
Alcanivorax	jadensis
Alcanivorax	marinus
Alcanivorax	mobilis
Alcanivorax	nanhaiticus
Alcanivorax	pacificus
Alcanivorax	profundi
Alcanivorax	venustensis
Alcanivorax	xenomutans
Alcanivorax	
Aldersonia	kunmingensis
Aldersonia	
Algibacter	aestuarii
Algibacter	agarilyticus
Algibacter	agarivorans
Algibacter	alginicilyticus
Algibacter	alginolytica
Algibacter	amylolyticus
Algibacter	aquaticus
Algibacter	aquimarinus
Algibacter	lectus
Algibacter	mikhailovii
Algibacter	miyuki
Algibacter	pectinivorans
Algibacter	psychrophilus
Algibacter	undariae
Algibacter	wandonensis
Algibacter	
Algicola	bacteriolytica
Algicola	sagamiensis
Algicola	
Algihabitans	albus
Algihabitans	
Algimonas	ampicilliniresistens
Algimonas	arctica
Algimonas	porphyrae
Algimonas	
Alginatibacterium	sediminis
